Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Frequency 42,Frequency 43,Frequency 44,Frequency 45,Frequency 46,Frequency 47,Frequency 48,Frequency 49,Abbreviations
Abdominal Cramps,Stomach,72,95,190,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA 
Abdominal Inflammation,Stomach,2720,2489,2170,1865,1800,1600,1550,880,832,802,787,776,727,660,465,450,444,440,428,380,146,125,95,72,20,1.2,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Abdominal Pain,Stomach,10000,3000,95,3,3040,522,440,160,124,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Abdominal Pain,Stomach,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Abscess Nocardia Asteroides,Respiratory,228,231,237,694,710,887,2890,11092.19,11096.87,17679.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Abscesses 2,Skin,2720,2170,1865,1550,880,802,787,727,500,444,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Abscesses 3,Skin,2720,2170,1865,1550,880,802,787,760,727,690,660,500,465,450,444,428,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Abscesses Secondary,Skin,1550,802,760,660,465,450,444,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Abscesses,Skin,2720,2170,880,787,727,500,200,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Absentmindedness,Brain,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Accelerate Healing,,7.83,',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Accelerate Injury Healing,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Accelerate Learning,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Accelerate Scar Healing,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Acidosis,Blood Tissue,10000,880,802,787,776,727,146,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acne 1,Skin,2720,2170,1800,1600,1550,1552,1500,802,880,787,727,564=360,778,760,741,660,564=360,465,450,444,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acne 2,Skin,760,465,444,450,428,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acne Vulgaris Junior,Skin,514,832,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Acne Vulgaris,Skin,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acne,Skin,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Acne,Skin,50,370,830,2500,3000,73300,383750,387000,389000,393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Aconite,Immune System,3347,5611,2791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acrocephalosyndactylia,Bone Tissue,140,1220,2620,12720,125780,158330,351300,532410,613320,709800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Acromegaly,Bone Tissue,80,420,770,7910,31210,122740,255610,371330,742800,955200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinobacillus,Respiratory,488,565,672,674,678,766,768,777,885,887,7877,9687,42664,42666,46668,46787,773,776,778,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Actinobacillus,Respiratory,773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA 
Actinomyces Bovis,,1.10,20,73,160,220,465,660,690,727.5,787,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinomyces Israelii 1,,46.5,727,766,776,787,802,880,1550,1600,1800,2489,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinomyces Israelii 2,,20,23,222,262,465,488,567,727,747,787,2154,7880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinomyces Israelii,,222,262,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Actinomyces Israelii,,262,2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA 
Actinomycosis (Streptothrix),,192000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Actinomycosis 1,,1.1,20,23,73,160,220,222,262,465,488,567,660,690,727.5,787,2154,7880,10000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinomycosis 2,,20,157,192,222,228,231,237,262,465,488,567,678,727,747,784,787,887,2154,2890,7870,7880,10000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinomycosis Streptothrix MOR,,784,1607,7870,11659.62,12000,21093.75,21187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Actinomycosis,Mouth,20,465,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Activity Increase,,144.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Acupuncture Disturbance Field,,5.9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Acute Pain,,3000,95,1550,802,880,787,727,690,666,26,160,333,522,555.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Addiction Alcoholism 1,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Addiction Alcoholism 2,,727,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Addiction Drugs,,5,333,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Addiction Drugs,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Addiction,,4,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Addictions Alcohol General,,230,290,440,1500,2300,3300,83350,184000,283000,303400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA 
Addictions Drug General,,280,350,470,1880,4340,5200,43420,143040,234040,343450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Addison's Disease,,190,750,900,7500,27500,222700,425710,563190,642910,978050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adeno-associated Virus,,950.6,958.79,959.6,960.39,967.6,969.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenoids,Nose,1550,802,880,787,776,727,444,20,428,660,2720,2170,1.57,2,14,333,444,588,780,806.5,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Adenoma Basal Cell,Cancer,40,5810,22500,52500,92500,434000,527000,667000,721000,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenoma Beta-Cell,,40,320,700,870,5250,32500,60000,125680,225650,275680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenoma Cervical,Uterus,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Adenoma Microcystic,,40,5810,22500,52500,92500,432500,527000,667000,721000,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenoma Monomorphic,,40,5810,22500,52500,92500,436000,527000,667000,721000,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenoma,,40,5810,22500,52500,92500,224370,527000,667000,721000,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adenoma,,40,5810,22500,52500,224370,434000,527000,667000,721000,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenomatous Polyposis Coli (APC),DNA,40,250,500,2500,322060,422530,561930,709830,842500,985900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adenomyosis,Uterus,30,250,730,3720,7500,35510,62580,125350,672910,924370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenoviridae Infections,,180,520,800,37500,93200,150000,275000,509350,755000,866150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adenoviridae Infections,,180,520,800,37500,93200,150000,392900,509350,755000,866150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenovirus 1,,333,523,666,768,786,950.6,958.79,959,959.6,960.39,962,967.6,969.3,11593.75,11607.8,11718.75,12281.25,14364.52,16628.88,17750,18471,18670.15,19566.31,20875,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenovirus 2nd,,371450-386900=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Adenovirus 2nd,,920.73,929.52,959.02,11607.8,11718.75,12090.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adenovirus 3rd,,371000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Adenovirus 4th,,334000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Adenovirus 5th,,568000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Adenovirus,,333,523,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Adenovirus,Lungs Stomach Intestines,333,523,786,768,959,962,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Adenovirus,,393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Adenovirus,,333,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Adhesions Pelvic,,20,2500,35160,67500,90000,355080,419340,567700,707260,930120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adhesions,,2720,2170,1550,802,880,787,776,760,727,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Adhesive Capsulitis,Shoulder,60,230,20000,68250,125750,158300,357300,532410,653690,759830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adiadochokinesis,,70,830,10890,2500,52500,87500,103500,214350,552590,719680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adie Syndrome,Nerve Eye,170,460,10850,55160,96500,350000,567000,692330,810200,982110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adiposis Dolorosa,,160,970,27500,110250,325000,476500,527000,665340,749000,985670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adnexitis,Ovary,440,441,522,572,3343,3833,5312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Adnexitis,Ovary,522,572,3343,3833,5312,440,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Adnexitis,Ovary,40,460,33010,72500,117590,231900,509020,645440,798720,915000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adrenal Function Normalize,Adrenals,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adrenal Gland Balance,Adrenals,20,537,1335,2250,10000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adrenal Gland Diseases,Adrenals,70,5500,73300,134250,357300,454370,519680,689410,712230,993410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adrenal Gland Fever,Adrenals,20,10000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adrenal Gland Stimulant 1,Adrenals,10,20,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Adrenal Gland Stimulant 2,Adrenals,10,20=360,72,95=360,125,428,440,444,450,522,600,625,650,660,666,685,690,700,727,760,787,832,880,1500,1600,1865,1800,1865,2127,2170,2720,3000,,,,,,,,,,,,,,,,,,CAFL
Adrenal Gland Stimulant 3,Adrenals,10,20,72,95,125,428,440,444,450,522,600,625,650,660,666,685,690,700,727,760,776,787,832,880,1500,1550,1600,1800,1865,2008,2127,2170,2720,3000,,,,,,,,,,,,,,,,XTRA
Adrenal Gland Toxicity,Adrenals,20,10000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adrenal Hyperplasia,Adrenals,220,970,52500,93500,236420,376290,426900,571000,813000,932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adrenoleukodystrophy,,190,750,900,5160,30000,229320,434250,564280,714820,978050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Adrenomyeloneuropathy,,190,750,900,5160,30000,229320,435000,564280,714820,978050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adverse Drug Reaction,,200,140,330,420,440,550,520,760,780,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Adynamia Geriatric,,60,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Adynamia Geriatric,,27,27.5,35,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Adynamia Geriatric,,49,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ODD
Afibrinogenemia,Blood,150,180,2500,322060,458500,515050,684810,712420,995380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Aflatoxin 1,,177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Aflatoxin 1,,344,438.74,474,476,510,568,943,8812.30,9359.96,11079.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Aflatoxin 2,,438.74,466,8812.30,9359.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Aflatoxin,Liver,344,510,943,474,476,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Aflatoxin,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
African Lymphoma,,50,570,850,52500,119340,375030,425710,434500,642910,985900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
African Trypanosomiasis,,656,988,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Agammaglobulinemia,,120,800,22500,90000,175000,451170,517500,683000,712230,992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Agitation,,3,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Agnosia,,120,5620,67500,93500,222700,425000,522530,689930,752630,923700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Agyfla,,71000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Agyfla,,175.99,3534.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Aicardi Syndrome,,780,8000,92500,125000,355080,452590,515160,687620,712810,997870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
AIDS 0,Immune System,727,787,880,2489,3175,3275,3375,3475,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
AIDS 1,Immune System,2489,465,727,787,880,1500,1.2,31000,31750,34750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
AIDS 2,Immune System,1.44,1550,1500,249,418,727,787,880,2489,3100,3175,3475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
AIDS 3,Immune System,2.88,249,418,727,787,880,1500,1550,2489,3100,3175,3475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
AIDS Kaposi's Sarcoma,,249,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
AIDS Secondary,Immune System,1113=720,2128=960,6121=1260,33=60,1113=720,2128=960,6121=1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
AIDS,,150,5580,22000,30000,47500,360590,365000,388900,434000,456110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
AIDS/HIV,,180,240,22000,30000,47500,162820,365000,388900,434000,456110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Airsickness,,90,10570,30420,88310,109500,257680,346270,344200,572000,792330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Akathisia,,3,7.83,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Alagille Syndrome,,80,800,950,22500,57500,175000,419340,563190,813960,983170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Alcoholism 1,Liver,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Alcoholism 2,Liver,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Alcoholism,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
