Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Frequency 42,Frequency 43,Frequency 44,Frequency 45,Frequency 46,Frequency 47,Frequency 48,Frequency 49,Abbreviations
Awakening Epilepsy,,70,180,730,870,5710,7250,22500,97500,375350,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
B Coli Filterable Virus,,770000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
B Coli Rod Form,,417000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
B Coli Rod,,727,787,800,803,21875,800,8020,13031.25,21343.75,943,19869.63,12453.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
B Coli Virus,,27,1552,11939.05,12031.25,16759.77,17220,21686.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
B Subtilis,,432,722,822,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
B-Cell Lymphoma,,410,930,2750,17500,35670,87500,93500,236420,434000,519340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Babesia Lyme,,76,570,753,1583,1584,5776,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Babesia,Blood,76,570,1583,1584,432,753,5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Babesiosis,,40,180,700,900,7500,45750,71500,95000,219340,379930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Babesiosis,,76,432,570,753,1583,1584,5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillinum,Respiratory,132,423,432,785,853,854,921,1027,1042,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacillinum,,132,854,921,1042,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Bacillus Anthracis 1,,622,623,624,627,628,629,632,633,634,637,638,639,642,643,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Anthracis 2,,129,224,273,400,414,420,500,633,768,900,930,1365,1370,4000,16655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Anthracis 2nd range,,11350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Anthracis 2nd,,363200-365300=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacillus Anthracis 3,,900.27,902.26,905.49,11350,11375,11415.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Anthracis 3rd,,359400-370500=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacillus Anthracis 4,,890.86,912.17,918.37,11231.25,11500,11578.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Anthracis 5,,902.26,912.17,961.75,979.11,18122.49,18321.63,19317.38,19665.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Anthracis Spores,,391450-386950=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacillus Anthracis Spores,,959.14,961.75,970.30,12092.19,12125,12232.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Anthracis,,393500-398000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacillus Anthracis,,975.38,979.11,986.53,12296.87,12343.75,12437.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Botulinus 6,,172,518,533,639,660,683,690,691,727.5,802,831,1372,1550,1552,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Cereus 1,,928.28,18645.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Cereus 2,,926.19,928.28,931.6,11676.55,11703.12,11745.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Cereus,,373650-375850=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacillus Coli Rod Form,Intestines,318,417,683,800,8020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacillus Coli Virus,Intestines,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacillus Infections,Colon,787,880,802,727,1552,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacillus Infections,,50,370,830,2500,3000,73300,355080,359000,363000,393000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Licheniformis,,2655,21554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Subtilis Niger 1,,921.72,954.32,959.51,11620.3,12031.25,12096.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Subtilis Niger 2,,921.72,941.92,959.51,11620.3,11875,12096.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Subtilis Niger 3,,921.72,929.52,959.51,11620.3,11718.75,12096.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Subtilis Niger 4,,929.52,941.92,954.32,18670.15,18919.09,19168.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Subtilis Niger_1,,371850-387100=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacillus Subtilis Niger_2,,380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacillus Subtilis Niger_3,,375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacillus Subtilis,,432,722,822,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacillus Thuringiensis,,520,2551,902,1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacillus X BX Cancer Carcinoma,,12531.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus X Cancer Carcinoma,,17.6,2128,11503.9,12531.25,16634.43,21275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus X Filter Cancer Carcinoma,,1604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rife
Bacillus X,,12375,12531.25,21275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Y BY Cancer Sarcoma,,11162.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacillus Y Cancer Sarcoma,,2008,11162.11,20080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Back Harm,,727,787,880,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Back Pain Generalized,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Back Pain Lower,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Back Pain Reduce,,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Back Pain,,140,400,7500,55000,96500,376290,425090,571000,833000,932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Back Spasms,,26,33,41.2,120,146,160,212,240,305,326,333,424,464,465,466,522,523,528,555,660,690,727.5,760,768,784,786,787,789,800,802,880,1550,1552,2112,3000,5000,10000,,,,,,,,,,,,,XTRA
Backache 1,Back,10000,1550,880,802,787,760,727,305=360,212=360,41.2,33=300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Backache 2,Back,9.3,9.4,9.6,7.6,7.7,3,0.5,432,465,727,728,776,784,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Backache and Spasms 1,Back,120,212,240,424,465,528,760,727,787,880,1550,2112,5000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Backache Chronic Lower 1,Back,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacteremia,,350,870,2500,11090,40000,90000,275160,425710,564280,640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Bacteria General,,20,465,660,664,690,727.5,784,787,800,802,832,866,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacteria Lactis Nosode,Back,512,526,798,951,5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacteria Lactis Nosode,,512,526,5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Bacterial Capsules (Capsular),,416050-418750=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacterial Capsules 1,,886.39,886.39,892.35,898.29,11175,11250,11325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacterial Capsules 2,,892.35,1034.88,17923.34,20786.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacterial Capsules,,362400-357600=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bacterial Infections and Mycoses,,50,370,830,2500,3000,73300,95750,175000,269710,355080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Bacterial Infections Gram Positive,,150,920,2750,13220,163000,275290,307250,435370,587500,795520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacterial Infections,,20,465,866,664,690,727,787,832,800,880,1550,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacterium Coli 1,,358,539,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacterium Coli 2,,282,333,413,957,1320,1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacterium Coli,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Bacterium Coli,Intestines,642,358,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacterium Lactis Nosode,,512,526,798,951,5412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Bacteroides Fragilis 1,,803.86,805.59,20268.75,20312.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacteroides Fragilis 2,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacteroides Fragilis 3,,805.59,808.07,16180.79,16230.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacteroides Fragilis 4,,807.33,808.07,20356.25,20375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bacteroides Fragilis,Respiratory,633,634,635,636,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bacteroides Fragilis,,324300-325000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Bad Breath,Mouth,20,727,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bad Complexion,Skin,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Baker's Yeast Allergy,,775,843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Baker's Yeast,,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Balance,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Balance,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Balancing of Body,,33,1130,1131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Balanitis,,30,250,930,13610,7500,95000,310250,451170,519680,688290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Balantidium Coli Cysts 1,,1137.25,1140.23,1147.41,14337.5,14375,14465.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Balantidium Coli Cysts 2,,1140.23,11451.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Balantidium Coli Cysts,,458800-462900=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Banal,,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Bannayan-Zonana Syndrome,,240,700,7500,12330,37500,72500,124370,325160,496010,888600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Banti's Syndrome,,1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Barium 135ba 1,,211.46,227.96,19402.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Barium 137ba 2,,236.56,255.02,21705.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Barley Smut,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Barley Smut,,377,224,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Barley Smut,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Barotrauma,,180,230,850,5810,20000,62500,150000,350000,510250,653690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Barrett's Esophagus 1,,20,146,676,727,776,787,802,880,2127.5=360,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Barrett's Esophagus,,50,460,800,7500,37500,85750,150000,229320,522530,655200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Barth Syndrome,,50,180,17500,45000,70000,125750,377910,475160,527000,753230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Bartonella Henslae,Lymph,364,379,645,654,786,840,842,844,846,848,850,857,967,6878,634,696,716,1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROV
Bartonella Infections,,70,120,1630,20000,40000,134250,357770,510250,752630,923700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Bartonella Lyme,,832,39936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Bartonella Quintana,,356,357,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Basal Cell Carcinoma,,760=1800,2116=1800,2280=480,666,2008,2125,2128,2131,2140,2145,2280=480,3672,6130,6601,6672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Basal Cell Nevus Syndrome,,100,570,800,7500,15000,52500,95110,655200,750000,923700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Basidiomycetes,Skin,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
BCG Vaccine,,277,768,832,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
BCG Vaccine,,477.7,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Beals Syndrome,,70,290,38220,49000,53890,67950,115070,502260,632830,726770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Beauty,Skin,221.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Beckwith-Wiedemann Syndrome,,110,550,47500,92500,375750,475160,527000,667000,752700,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Bed Wetting,,7.83,20,112,120,465,727,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bed Wetting,,465,660,690,727.5,787,802,880,1550,2050,2128,2250,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bedsores 1,,1.1,1.19,20,73,250,465,660,690,727.5,784,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bedsores 3,,20,465,727,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Bedsores,,880,1550,802,787,727,465,20,1.2,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Bedsores,,180,620,930,12760,47230,187500,271500,571340,622530,864000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Behcet Syndrome,,110,550,850,16200,47500,376290,476500,527000,667000,742000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Bell's Palsy 1,,2.39,3,3.89,7.83,20,27.57,33,35,40,47.5,57.5,72,90.97,110,125,194,222,304,393.5,464,565.5,600,625,650,727,776,787,833,880,932.5,1250,,,,,,,,,,,,,,,,,,,XTRA
Bell's Palsy 2,,2.39,3,3.89,7.83,20,27.5,33,35,40,72,90.87,110,125,194,220,222,304,410,464,470.5,570.5,600,625,650,660,690,727.5,776,787,833,880,1250,3930.5,5650.5,9320.5,,,,,,,,,,,,,,,XTRA
Bell's Palsy 3,,2.39,3,3.89,7.83,20,27.57,33,35,40,47.5,57.5,72,90.87,110,125,194,222,304,393.5,464,565.5,600,625,650,727,776,787,833,880,932.5,1250,,,,,,,,,,,,,,,,,,,XTRA
Bell's Palsy,Nerve,2.4,3,3.9,7.83,20,27.57,33,35,40,47.5,57.5,72,90.88,110,125,194,222,304,393.5,464,565.5,600,625,650,727,776,787,833,880,932.5,1250,,,,,,,,,,,,,,,,,,,CAFL
Bell's Palsy,,120,17850,27500,47500,150000,225000,452590,683000,712000,993410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Berger's Disease,,150,240,680,830,32500,197500,332500,555370,696500,875520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Beriberi,,120,220,5810,5500,40000,67500,150000,269710,749000,987230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Bermuda Smut,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Bermuda Smut,,422,767,847,971,644,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Berylliosis,,140,260,5620,42500,65110,90000,517500,688290,712230,997870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
