Name 1,Name 2,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Frequency 5,Frequency 6,Frequency 7,Frequency 8,Frequency 9,Frequency 10,Frequency 11,Frequency 12,Frequency 13,Frequency 14,Frequency 15,Frequency 16,Frequency 17,Frequency 18,Frequency 19,Frequency 20,Frequency 21,Frequency 22,Frequency 23,Frequency 24,Frequency 25,Frequency 26,Frequency 27,Frequency 28,Frequency 29,Frequency 30,Frequency 31,Frequency 32,Frequency 33,Frequency 34,Frequency 35,Frequency 36,Frequency 37,Frequency 38,Frequency 39,Frequency 40,Frequency 41,Abbreviations
Gravel Deposits,,2.64,20,727,787,880,3000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gravel In Urine 1,Kidney,2.65,20,727,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gravel In Urine 2,,2.64,20,727,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Graves Disease and Goiter,,20,727,787,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Graves Disease,,80,350,55610,119870,232250,308290,455520,585370,697500,825910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Greatest Hits,,20,120,128,422,464,644,676,688,712,728,732,786,800,880,1550,1862,2112,2128,3040,4412,10000,,,,,,,,,,,,,,,,,,,,,XTRA
Green Dye,,563,2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe 1986,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe 1987,,332,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Grippe Va 2 L,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Va 2,,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Virus 3,,550,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Virus 4,,232,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Virus 5,,945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe Virus,,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Grippe,,343,500,512,541,862,1000,1192,3012,3423,10223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Grippe,,343,512,862,3012,3423,10223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Grippe,,80,250,570,7500,10530,12500,40000,313350,320000,615000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Griseofulvin,,288000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Griseofulvin,,713.87,14338.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Grounding,,194.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Growth Hormone,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Growth,,183.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Guillain-Barre Syndrome,,40,320,620,5970,35250,112730,296000,392970,701660,933500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Guillain-Barre Syndrome,,20.87,30,41.75,82.59,165,330,727,740,787,880,1234,1550,2600,2650,2900,2950,4412,5000,7344,10000,,,,,,,,,,,,,,,,,,,,,,XTRA
Guilt and Fear Release,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Guilt and Shame,,126.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gulf War Syndrome 1,,136,253,255,392,435,533,578,633,639,714,771,837,866,975,1365,1370,2688,5419,6007,7755,,,,,,,,,,,,,,,,,,,,,,XTRA
Gum Disease 2,,20,465,726,728,776,787,802,880,1550,1556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gum Disease,Gums,20,146,444,465,522,726,727,728,776,787,802,880,1550,1556,1600,1800,2008,2489,2720,,,,,,,,,,,,,,,,,,,,,,,CAFL
Gum Infection,,20,146,444,465,522,660,690,726,727.5,776,787,802,880,1550,1556,1600,1800,1865,2008,2489,2720,,,,,,,,,,,,,,,,,,,,,XTRA
Gum Inflammation 1,,20,465,727,787,800,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gum Inflammation 2,,20,465,727,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Gynecomastia,,190,230,950,2250,112500,227500,252200,322500,421000,826320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gyrate Atrophy,,50,660,1320,7500,17500,15910,151200,231200,341000,525290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Gyrodactylus,,378750-381800=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Gyrodactylus,,938.83,941.92,946.38,11835.94,11875,11931.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
H1N1- Swine Flu,,20,450,650,2210,6150,10230,15910,30280,77500,327110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
H5N1- Bird Flu,,20,450,650,2740,8320,11690,25120,77010,351290,501710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Haemonchus Contortus,,386800-395000=3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Haemonchus Contortus,,958.77,974.14,979.11,12087.5,12281.25,12343.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilia Tonic,,751,778,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilia,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Haemophilus Influenzae 1,,832.86,833.87,21000,21025.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilus Influenzae 2,,832.86,16728.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilus Influenzae 3,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilus Influenzae B,,652,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Haemophilus Influenzae,,336410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Haemophilus Influenzae,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Haemophilus Influenzae,,50,370,830,2500,3000,73300,95750,175000,269710,336410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hair Diseases,,170,180,870,2500,27500,82500,85520,165000,692500,825520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hair Human,,646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Hair Losing,,20,800,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hair Loss 1,,3,20,28,95,146,330,465,660,690,727.5,787,800,880,1552,2170,2720,4200,5000,10000,15000,,,,,,,,,,,,,,,,,,,,,,XTRA
Hair Loss 2,,727,800,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hair Regain Color/Grow,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hairy Cell,,122,622,932,5122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VEGA
Halitosis 1,,1550,802,880,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Halitosis 2,,20,660,690,727.5,787,802,880,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Halitosis,,30,120,950,2500,22500,50000,126160,325290,519340,682450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Halitosis,,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hallucinations 1,,10000,880,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Hallucinations 2,,20,660,690,727.5,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hallucinations,,100,570,1000,7500,27500,37500,96500,342060,515700,691270,756530,990500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hallux Valgus,,70,240,650,5750,72250,123000,502500,622880,713230,807730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hamartoma Syndrome Multiple,,60,260,680,9000,10890,45910,125290,526160,652430,750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hamartoma,,70,220,730,2500,5520,50000,93500,423010,568430,642910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hand Foot and Mouth Syndrome,,232,237,1214,1243,1244,1271,5411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Hand Tremors,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hangover,,10000,522,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Hangover,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hansen's Disease (Leprosy),,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hansen's Disease,,20,428,440,444,450,465,500,600,625,650,660,690,700,727.5,760,776,787,802,832,880,1500,1550,1600,1865,,,,,,,,,,,,,,,,,,XTRA
Hansen's Disease,,170,240,790,3500,5820,48000,97500,123010,468430,592260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hantavirus Infections,,70,120,600,870,2250,125520,387500,525000,707500,816500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Harmony and Love,,221.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Harmony,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hartnup Disease,,160,550,950,5750,67250,132500,237500,391500,421220,515700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hastoiditis,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Hay Fever,,880,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Head Cold,,72,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Head Injuries 1,,4.9,5.79,9.59,72,160,522,660,690,727.5,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Head Injuries 2,,4.9,5.79,9.59,72,522,727,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Head Injury Follow-up,,9.6,3000,880,787,727,522,72,5.8,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Head Pressure In,,20,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Head Top Of,,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headache Migraine,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headache Rapid Relief,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headache,,160,550,950,7500,22500,42500,96500,275520,515700,650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Headaches 1,,144,160,1.2,520,10,10000,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Headaches 2,,1.19,10,144,160,304,520,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Biliary,,3.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Comp,,1.19,4,4.9,5.79,6.29,7.83,9.39,9.59,10,20,73,95,125,144,146,160,304,520,522,600,625,650,727,787,880,3000,10000,,,,,,,,,,,,,,,XTRA
Headaches Due to Parasites,,125,95,73,20,727,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Headaches Due to Toxicity,,522,146,4.9,3000,880,787,727,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Headaches Parasites 1,,20,73,95,125,727,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Parasites 2,,1.1,1.19,20,72,73,95,125,160,250,660,690,727.5,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Rapid Relief,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Toxicity 1,,1.19,4.9,20,146,160,250,522,660,690,727.5,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Toxicity 2,,4.9,20,146,522,727,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Unknown Cause,,10,4,5.8,6.3,7.83,3000,650,625,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Headaches Urogenital 1,,1.19,9.39,9.4,160,250,333,523,555,768,786,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Urogenital 2,,9.39,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Vertebral Misalignment 1,,9.59,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Vertebral Misalignment 2,,1.19,9.59,160,250,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Headaches Vertebral Misalignment,,9.6,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Headaches,,10,1.2,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing 1,,1026,1537,2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing 2,,1549,3642,7055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing 3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing Acceleration,,20,26,33,39,45,78.29,140,200,300,330,450,783,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing and Regeneration 1,,2720,266,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Healing and Regeneration 2,,47,2720=1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing Enhanced,,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing Frequency Russian,,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing General,,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing Infinite,,1638,2444,3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Healing Special,,5.8,8.01,9.6,59.3,148,216,266,2720,3000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUST
Healing,,10.5,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hearing Disorders,,10,500,930,2250,5290,30000,142500,350000,422060,775290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hearing Disorders,,40,500,930,2250,5290,30000,142500,350000,422060,775290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hearing Loss Sudden,,40,500,950,2250,10530,105910,242500,391280,425520,815290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hearing,,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Angina Pectoris,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Animals,,3.89,20,73,80,95,125,160,465,727,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Blockage,,59,60,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Bradycardia,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Catheterization,,110,570,800,1520,15290,52500,62500,196500,412500,673110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Heart Defects Congenital,,140,220,730,5250,7250,52510,167530,326160,569710,719340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Heart Disease,,381000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HC
Heart Diseases,,70,220,700,2750,7250,50000,67500,115700,356720,475520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Heart Disorder,,727,787,880,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Endocarditis,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Failure,,140,220,750,5290,7250,50000,167500,334250,425000,805290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Heart Fast Palpitations,,727,787,880,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Function Balance,,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Function Normalize,,1.19,3.89,20,73,80,95,125,160,250,465,660,690,696,727.5,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Function Stimulate Normal,,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart General,,20,81,162,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Heart Myocarditis,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Septal Defects,,140,220,650,5290,7850,51020,167500,324370,551030,725520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Heart Stenosis,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Tonic Animals,,1.19,3.89,20,73,80,95,125,160,162,465,727,787,880,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heart Tonic,,80,160,20,73,3.9,3000,880,787,727,465,162,125,95,20,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Heart Valve Diseases,,110,220,730,3750,7050,51270,137500,236420,472290,851170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Heart,,10.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heartburn Chronic,,832,2720,2170,2127,1800,1600,1550,802,1500,880,787,727,685,465,444,1865,125,95,72,20,,,,,,,,,,,,,,,,,,,,,,CAFL
Heartworms,,543,2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Heartworms,,200,535,799,1077,2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Heat Exchange,,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heat Generation,,5.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heat Stress Disorders,,70,410,730,850,7500,20000,57500,150000,225520,322060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Heavy Metal Toxicity,,317,1902,4202.3,5333.69,9887,14164.1,15952.79,19007.15,19007.2,19169.38,19516.29,21822.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heavy Metals,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Heel Spurs,,1.19,120,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Helicobacter Pylori,,250,850,2230,30000,95000,107100,225300,438950,633100,823410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heliobacter Pylori 1,,347,352,676=600,695,705,728,880,2167,2779,2819,2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heliobacter Pylori 2,Stomach,2950,2819,2779,2167,880,728,705,695,676=600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Heliobacter Pylori 3,,2167,728,880,2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Heliobacter Pylori 4,,695,705,2779,2819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heliobacter Pylori 5,,0.2,0.4,0.59,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Heliobacterium Pylori Ulcer,Stomach,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAFL
Helminthiasis,,60,490,730,1270,12330,5870,112710,252500,492500,675290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Helminthosporium,,793,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO
Hemangioma Cavernous,,30,370,970,2750,81500,172500,396500,475290,533630,876290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hemangioma,,150,240,700,830,2500,17500,432500,555910,625290,775520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hematologic Diseases,,70,250,570,870,2250,72500,96500,226320,526160,682020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hematoma Epidural Cranial,,370,970,2500,17500,71500,96500,179930,224370,451220,567210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hematoma Subdural,,210,250,4570,42690,112250,412500,596500,643740,825520,971000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hematospermia,,80,240,650,5250,73250,147180,351520,412580,539210,725290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hematuria,,10,260,680,2280,12850,45230,167500,396500,425520,625290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
Hematuria,,40,260,680,2280,12850,45230,167500,396500,425520,625290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XTRA
Hemianopsia,,130,580,730,2580,5780,145910,372520,428010,511190,605590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KHZ
